date;model;retailer;kind_cheese;key;price
31.12.2019;2;A1;сыр твердый;A1|сыр твердый;1000
31.12.2019;2;A1;сыр полутвердый;A1|сыр полутвердый;600
31.12.2019;2;A1;сыр мягкий;A1|сыр мягкий;500
31.12.2019;2;A1;прочие сыры;A1|прочие сыры;700
31.12.2019;2;A1;продукты сырные;A1|продукты сырные;400
31.12.2019;2;A2;сыр твердый;A2|сыр твердый;1000
31.12.2019;2;A2;сыр полутвердый;A2|сыр полутвердый;600
31.12.2019;2;A2;сыр мягкий;A2|сыр мягкий;500
31.12.2019;2;A2;прочие сыры;A2|прочие сыры;700
31.12.2019;2;A2;продукты сырные;A2|продукты сырные;400
31.12.2019;2;A3;сыр твердый;A3|сыр твердый;1000
31.12.2019;2;A3;сыр полутвердый;A3|сыр полутвердый;600
31.12.2019;2;A3;сыр мягкий;A3|сыр мягкий;500
31.12.2019;2;A3;прочие сыры;A3|прочие сыры;700
31.12.2019;2;A3;продукты сырные;A3|продукты сырные;400
31.12.2019;2;A4;сыр твердый;A4|сыр твердый;1050
31.12.2019;2;A4;сыр полутвердый;A4|сыр полутвердый;630
31.12.2019;2;A4;сыр мягкий;A4|сыр мягкий;525
31.12.2019;2;A4;прочие сыры;A4|прочие сыры;770
31.12.2019;2;A4;продукты сырные;A4|продукты сырные;340
31.12.2019;2;A5;сыр твердый;A5|сыр твердый;950
31.12.2019;2;A5;сыр полутвердый;A5|сыр полутвердый;570
31.12.2019;2;A5;сыр мягкий;A5|сыр мягкий;475
31.12.2019;2;A5;прочие сыры;A5|прочие сыры;665
31.12.2019;2;A5;продукты сырные;A5|продукты сырные;380
01.01.2020;2;A1;сыр твердый;A1|сыр твердый;1100
01.01.2020;2;A1;сыр полутвердый;A1|сыр полутвердый;660
01.01.2020;2;A1;сыр мягкий;A1|сыр мягкий;550
01.01.2020;2;A1;прочие сыры;A1|прочие сыры;770
01.01.2020;2;A1;продукты сырные;A1|продукты сырные;440
01.01.2020;2;A2;сыр твердый;A2|сыр твердый;1100
01.01.2020;2;A2;сыр полутвердый;A2|сыр полутвердый;660
01.01.2020;2;A2;сыр мягкий;A2|сыр мягкий;550
01.01.2020;2;A2;прочие сыры;A2|прочие сыры;770
01.01.2020;2;A2;продукты сырные;A2|продукты сырные;440
01.01.2020;2;A3;сыр твердый;A3|сыр твердый;1100
01.01.2020;2;A3;сыр полутвердый;A3|сыр полутвердый;660
01.01.2020;2;A3;сыр мягкий;A3|сыр мягкий;550
01.01.2020;2;A3;прочие сыры;A3|прочие сыры;770
01.01.2020;2;A3;продукты сырные;A3|продукты сырные;440
01.01.2020;2;A4;сыр твердый;A4|сыр твердый;1155
01.01.2020;2;A4;сыр полутвердый;A4|сыр полутвердый;693
01.01.2020;2;A4;сыр мягкий;A4|сыр мягкий;578
01.01.2020;2;A4;прочие сыры;A4|прочие сыры;847
01.01.2020;2;A4;продукты сырные;A4|продукты сырные;374
01.01.2020;2;A5;сыр твердый;A5|сыр твердый;1045
01.01.2020;2;A5;сыр полутвердый;A5|сыр полутвердый;627
01.01.2020;2;A5;сыр мягкий;A5|сыр мягкий;523
01.01.2020;2;A5;прочие сыры;A5|прочие сыры;732
01.01.2020;2;A5;продукты сырные;A5|продукты сырные;418
02.01.2020;2;A1;сыр твердый;A1|сыр твердый;1100
02.01.2020;2;A1;сыр полутвердый;A1|сыр полутвердый;660
02.01.2020;2;A1;сыр мягкий;A1|сыр мягкий;550
02.01.2020;2;A1;прочие сыры;A1|прочие сыры;770
02.01.2020;2;A1;продукты сырные;A1|продукты сырные;440
02.01.2020;2;A2;сыр твердый;A2|сыр твердый;1100
02.01.2020;2;A2;сыр полутвердый;A2|сыр полутвердый;660
02.01.2020;2;A2;сыр мягкий;A2|сыр мягкий;550
02.01.2020;2;A2;прочие сыры;A2|прочие сыры;770
02.01.2020;2;A2;продукты сырные;A2|продукты сырные;440
02.01.2020;2;A3;сыр твердый;A3|сыр твердый;1100
02.01.2020;2;A3;сыр полутвердый;A3|сыр полутвердый;660
02.01.2020;2;A3;сыр мягкий;A3|сыр мягкий;550
02.01.2020;2;A3;прочие сыры;A3|прочие сыры;770
02.01.2020;2;A3;продукты сырные;A3|продукты сырные;440
02.01.2020;2;A4;сыр твердый;A4|сыр твердый;1155
02.01.2020;2;A4;сыр полутвердый;A4|сыр полутвердый;693
02.01.2020;2;A4;сыр мягкий;A4|сыр мягкий;578
02.01.2020;2;A4;прочие сыры;A4|прочие сыры;847
02.01.2020;2;A4;продукты сырные;A4|продукты сырные;374
02.01.2020;2;A5;сыр твердый;A5|сыр твердый;1045
02.01.2020;2;A5;сыр полутвердый;A5|сыр полутвердый;627
02.01.2020;2;A5;сыр мягкий;A5|сыр мягкий;523
02.01.2020;2;A5;прочие сыры;A5|прочие сыры;732
02.01.2020;2;A5;продукты сырные;A5|продукты сырные;418
03.01.2020;2;A1;сыр твердый;A1|сыр твердый;1100
03.01.2020;2;A1;сыр полутвердый;A1|сыр полутвердый;660
03.01.2020;2;A1;сыр мягкий;A1|сыр мягкий;550
03.01.2020;2;A1;прочие сыры;A1|прочие сыры;770
03.01.2020;2;A1;продукты сырные;A1|продукты сырные;440
03.01.2020;2;A2;сыр твердый;A2|сыр твердый;1100
03.01.2020;2;A2;сыр полутвердый;A2|сыр полутвердый;660
03.01.2020;2;A2;сыр мягкий;A2|сыр мягкий;550
03.01.2020;2;A2;прочие сыры;A2|прочие сыры;770
03.01.2020;2;A2;продукты сырные;A2|продукты сырные;440
03.01.2020;2;A3;сыр твердый;A3|сыр твердый;1100
03.01.2020;2;A3;сыр полутвердый;A3|сыр полутвердый;660
03.01.2020;2;A3;сыр мягкий;A3|сыр мягкий;550
03.01.2020;2;A3;прочие сыры;A3|прочие сыры;770
03.01.2020;2;A3;продукты сырные;A3|продукты сырные;440
03.01.2020;2;A4;сыр твердый;A4|сыр твердый;1155
03.01.2020;2;A4;сыр полутвердый;A4|сыр полутвердый;693
03.01.2020;2;A4;сыр мягкий;A4|сыр мягкий;578
03.01.2020;2;A4;прочие сыры;A4|прочие сыры;847
03.01.2020;2;A4;продукты сырные;A4|продукты сырные;374
03.01.2020;2;A5;сыр твердый;A5|сыр твердый;1045
03.01.2020;2;A5;сыр полутвердый;A5|сыр полутвердый;627
03.01.2020;2;A5;сыр мягкий;A5|сыр мягкий;523
03.01.2020;2;A5;прочие сыры;A5|прочие сыры;732
03.01.2020;2;A5;продукты сырные;A5|продукты сырные;418
04.01.2020;2;A1;сыр твердый;A1|сыр твердый;1100
04.01.2020;2;A1;сыр полутвердый;A1|сыр полутвердый;660
04.01.2020;2;A1;сыр мягкий;A1|сыр мягкий;550
04.01.2020;2;A1;прочие сыры;A1|прочие сыры;770
04.01.2020;2;A1;продукты сырные;A1|продукты сырные;440
04.01.2020;2;A2;сыр твердый;A2|сыр твердый;1100
04.01.2020;2;A2;сыр полутвердый;A2|сыр полутвердый;660
04.01.2020;2;A2;сыр мягкий;A2|сыр мягкий;550
04.01.2020;2;A2;прочие сыры;A2|прочие сыры;770
04.01.2020;2;A2;продукты сырные;A2|продукты сырные;440
04.01.2020;2;A3;сыр твердый;A3|сыр твердый;1100
04.01.2020;2;A3;сыр полутвердый;A3|сыр полутвердый;660
04.01.2020;2;A3;сыр мягкий;A3|сыр мягкий;550
04.01.2020;2;A3;прочие сыры;A3|прочие сыры;770
04.01.2020;2;A3;продукты сырные;A3|продукты сырные;440
04.01.2020;2;A4;сыр твердый;A4|сыр твердый;1155
04.01.2020;2;A4;сыр полутвердый;A4|сыр полутвердый;693
04.01.2020;2;A4;сыр мягкий;A4|сыр мягкий;578
04.01.2020;2;A4;прочие сыры;A4|прочие сыры;847
04.01.2020;2;A4;продукты сырные;A4|продукты сырные;374
04.01.2020;2;A5;сыр твердый;A5|сыр твердый;1045
04.01.2020;2;A5;сыр полутвердый;A5|сыр полутвердый;627
04.01.2020;2;A5;сыр мягкий;A5|сыр мягкий;523
04.01.2020;2;A5;прочие сыры;A5|прочие сыры;732
04.01.2020;2;A5;продукты сырные;A5|продукты сырные;418
05.01.2020;2;A1;сыр твердый;A1|сыр твердый;1100
05.01.2020;2;A1;сыр полутвердый;A1|сыр полутвердый;660
05.01.2020;2;A1;сыр мягкий;A1|сыр мягкий;550
05.01.2020;2;A1;прочие сыры;A1|прочие сыры;770
05.01.2020;2;A1;продукты сырные;A1|продукты сырные;440
05.01.2020;2;A2;сыр твердый;A2|сыр твердый;1100
05.01.2020;2;A2;сыр полутвердый;A2|сыр полутвердый;660
05.01.2020;2;A2;сыр мягкий;A2|сыр мягкий;550
05.01.2020;2;A2;прочие сыры;A2|прочие сыры;770
05.01.2020;2;A2;продукты сырные;A2|продукты сырные;440
05.01.2020;2;A3;сыр твердый;A3|сыр твердый;1100
05.01.2020;2;A3;сыр полутвердый;A3|сыр полутвердый;660
05.01.2020;2;A3;сыр мягкий;A3|сыр мягкий;550
05.01.2020;2;A3;прочие сыры;A3|прочие сыры;770
05.01.2020;2;A3;продукты сырные;A3|продукты сырные;440
05.01.2020;2;A4;сыр твердый;A4|сыр твердый;1155
05.01.2020;2;A4;сыр полутвердый;A4|сыр полутвердый;693
05.01.2020;2;A4;сыр мягкий;A4|сыр мягкий;578
05.01.2020;2;A4;прочие сыры;A4|прочие сыры;847
05.01.2020;2;A4;продукты сырные;A4|продукты сырные;374
05.01.2020;2;A5;сыр твердый;A5|сыр твердый;1045
05.01.2020;2;A5;сыр полутвердый;A5|сыр полутвердый;627
05.01.2020;2;A5;сыр мягкий;A5|сыр мягкий;523
05.01.2020;2;A5;прочие сыры;A5|прочие сыры;732
05.01.2020;2;A5;продукты сырные;A5|продукты сырные;418
06.01.2020;2;A1;сыр твердый;A1|сыр твердый;1100
06.01.2020;2;A1;сыр полутвердый;A1|сыр полутвердый;660
06.01.2020;2;A1;сыр мягкий;A1|сыр мягкий;550
06.01.2020;2;A1;прочие сыры;A1|прочие сыры;770
06.01.2020;2;A1;продукты сырные;A1|продукты сырные;440
06.01.2020;2;A2;сыр твердый;A2|сыр твердый;1100
06.01.2020;2;A2;сыр полутвердый;A2|сыр полутвердый;660
06.01.2020;2;A2;сыр мягкий;A2|сыр мягкий;550
06.01.2020;2;A2;прочие сыры;A2|прочие сыры;770
06.01.2020;2;A2;продукты сырные;A2|продукты сырные;440
06.01.2020;2;A3;сыр твердый;A3|сыр твердый;1100
06.01.2020;2;A3;сыр полутвердый;A3|сыр полутвердый;660
06.01.2020;2;A3;сыр мягкий;A3|сыр мягкий;550
06.01.2020;2;A3;прочие сыры;A3|прочие сыры;770
06.01.2020;2;A3;продукты сырные;A3|продукты сырные;440
06.01.2020;2;A4;сыр твердый;A4|сыр твердый;1155
06.01.2020;2;A4;сыр полутвердый;A4|сыр полутвердый;693
06.01.2020;2;A4;сыр мягкий;A4|сыр мягкий;578
06.01.2020;2;A4;прочие сыры;A4|прочие сыры;847
06.01.2020;2;A4;продукты сырные;A4|продукты сырные;374
06.01.2020;2;A5;сыр твердый;A5|сыр твердый;1045
06.01.2020;2;A5;сыр полутвердый;A5|сыр полутвердый;627
06.01.2020;2;A5;сыр мягкий;A5|сыр мягкий;523
06.01.2020;2;A5;прочие сыры;A5|прочие сыры;732
06.01.2020;2;A5;продукты сырные;A5|продукты сырные;418
07.01.2020;2;A1;сыр твердый;A1|сыр твердый;1100
07.01.2020;2;A1;сыр полутвердый;A1|сыр полутвердый;660
07.01.2020;2;A1;сыр мягкий;A1|сыр мягкий;550
07.01.2020;2;A1;прочие сыры;A1|прочие сыры;770
07.01.2020;2;A1;продукты сырные;A1|продукты сырные;440
07.01.2020;2;A2;сыр твердый;A2|сыр твердый;1100
07.01.2020;2;A2;сыр полутвердый;A2|сыр полутвердый;660
07.01.2020;2;A2;сыр мягкий;A2|сыр мягкий;550
07.01.2020;2;A2;прочие сыры;A2|прочие сыры;770
07.01.2020;2;A2;продукты сырные;A2|продукты сырные;440
07.01.2020;2;A3;сыр твердый;A3|сыр твердый;1100
