date;model;retailer;kind_cheese;key;price
31.12.2019;0;A1;сыр твердый;A1|сыр твердый;1000
31.12.2019;0;A1;сыр полутвердый;A1|сыр полутвердый;600
31.12.2019;0;A1;сыр мягкий;A1|сыр мягкий;500
31.12.2019;0;A1;прочие сыры;A1|прочие сыры;700
31.12.2019;0;A1;продукты сырные;A1|продукты сырные;400
31.12.2019;0;A2;сыр твердый;A2|сыр твердый;1000
31.12.2019;0;A2;сыр полутвердый;A2|сыр полутвердый;600
31.12.2019;0;A2;сыр мягкий;A2|сыр мягкий;500
31.12.2019;0;A2;прочие сыры;A2|прочие сыры;700
31.12.2019;0;A2;продукты сырные;A2|продукты сырные;400
31.12.2019;0;A3;сыр твердый;A3|сыр твердый;1000
31.12.2019;0;A3;сыр полутвердый;A3|сыр полутвердый;600
31.12.2019;0;A3;сыр мягкий;A3|сыр мягкий;500
31.12.2019;0;A3;прочие сыры;A3|прочие сыры;700
31.12.2019;0;A3;продукты сырные;A3|продукты сырные;400
31.12.2019;0;A4;сыр твердый;A4|сыр твердый;1050
31.12.2019;0;A4;сыр полутвердый;A4|сыр полутвердый;630
31.12.2019;0;A4;сыр мягкий;A4|сыр мягкий;525
31.12.2019;0;A4;прочие сыры;A4|прочие сыры;770
31.12.2019;0;A4;продукты сырные;A4|продукты сырные;340
31.12.2019;0;A5;сыр твердый;A5|сыр твердый;950
31.12.2019;0;A5;сыр полутвердый;A5|сыр полутвердый;570
31.12.2019;0;A5;сыр мягкий;A5|сыр мягкий;475
31.12.2019;0;A5;прочие сыры;A5|прочие сыры;665
31.12.2019;0;A5;продукты сырные;A5|продукты сырные;380
01.01.2020;0;A1;сыр твердый;A1|сыр твердый;1000
01.01.2020;0;A1;сыр полутвердый;A1|сыр полутвердый;600
01.01.2020;0;A1;сыр мягкий;A1|сыр мягкий;500
01.01.2020;0;A1;прочие сыры;A1|прочие сыры;700
01.01.2020;0;A1;продукты сырные;A1|продукты сырные;400
01.01.2020;0;A2;сыр твердый;A2|сыр твердый;1000
01.01.2020;0;A2;сыр полутвердый;A2|сыр полутвердый;600
01.01.2020;0;A2;сыр мягкий;A2|сыр мягкий;500
01.01.2020;0;A2;прочие сыры;A2|прочие сыры;700
01.01.2020;0;A2;продукты сырные;A2|продукты сырные;400
01.01.2020;0;A3;сыр твердый;A3|сыр твердый;1000
01.01.2020;0;A3;сыр полутвердый;A3|сыр полутвердый;600
