date,model,retailer,customer_id,kind_cheese,quantity,price
2020-01-02,1,A5,83,сыр твердый,1000,950
2020-01-02,1,A4,89,прочие сыры,1000,847
2020-01-02,1,A1,96,сыр твердый,150,1000
2020-01-02,1,A5,115,прочие сыры,750,665
2020-01-02,1,A4,121,сыр твердый,300,1103
2020-01-02,1,A1,132,сыр полутвердый,800,600
2020-01-02,1,A1,135,сыр мягкий,200,500
2020-01-02,1,A1,136,сыр мягкий,150,500
2020-01-02,1,A2,137,сыр твердый,200,1050
2020-01-02,1,A5,138,сыр полутвердый,700,570
2020-01-02,1,A2,139,сыр твердый,400,1050
2020-01-02,1,A4,148,сыр полутвердый,700,662
2020-01-03,1,A2,120,прочие сыры,600,735
2020-01-03,1,A3,131,сыр твердый,650,1100
2020-01-03,1,A1,146,сыр твердый,950,1000
2020-01-04,1,A1,3,сыр твердый,150,1000
2020-01-04,1,A2,21,сыр твердый,750,1050
2020-01-04,1,A2,34,прочие сыры,900,735
2020-01-04,1,A4,41,продукты сырные,150,340
2020-01-04,1,A4,63,сыр твердый,600,1103
2020-01-04,1,A5,86,сыр полутвердый,700,570
2020-01-04,1,A1,108,сыр полутвердый,550,600
2020-01-04,1,A2,127,сыр мягкий,1000,525
2020-01-04,1,A2,150,сыр твердый,1000,1050
2020-01-05,1,A4,94,продукты сырные,100,340
2020-01-05,1,A1,118,продукты сырные,450,400
2020-01-05,1,A1,136,сыр мягкий,200,500
2020-01-05,1,A2,141,сыр твердый,350,1050
2020-01-05,1,A2,147,сыр полутвердый,500,630
2020-01-06,1,A4,11,сыр твердый,250,893
2020-01-06,1,A4,28,сыр твердый,400,893
2020-01-06,1,A4,63,сыр твердый,300,893
2020-01-06,1,A4,68,сыр твердый,400,893
2020-01-06,1,A3,90,продукты сырные,300,400
2020-01-06,1,A4,110,сыр твердый,150,893
2020-01-06,1,A4,112,сыр твердый,450,893
2020-01-06,1,A4,121,сыр твердый,350,893
2020-01-06,1,A3,124,сыр твердый,750,1000
2020-01-06,1,A2,125,сыр полутвердый,550,630
2020-01-06,1,A3,131,сыр твердый,400,1000
2020-01-06,1,A2,137,сыр твердый,550,1050
2020-01-06,1,A4,145,прочие сыры,750,847
2020-01-06,1,A2,149,сыр полутвердый,750,630
2020-01-07,1,A5,4,продукты сырные,150,391
2020-01-07,1,A1,12,сыр полутвердый,650,600
2020-01-07,1,A1,18,прочие сыры,150,700
2020-01-07,1,A2,20,продукты сырные,600,420
2020-01-07,1,A1,38,сыр мягкий,300,500
2020-01-07,1,A2,53,сыр полутвердый,1000,630
2020-01-07,1,A1,58,сыр мягкий,250,500
2020-01-07,1,A4,75,сыр полутвердый,850,662
2020-01-07,1,A3,76,сыр полутвердый,800,600
2020-01-07,1,A4,80,сыр твердый,550,893
2020-01-07,1,A2,84,сыр мягкий,300,525
2020-01-07,1,A1,96,сыр твердый,850,1000
2020-01-07,1,A4,97,сыр мягкий,150,551
2020-01-07,1,A2,130,прочие сыры,600,735
2020-01-07,1,A2,133,прочие сыры,150,735
2020-01-07,1,A1,135,сыр мягкий,500,500
2020-01-08,1,A5,116,сыр мягкий,600,489
2020-01-08,1,A5,142,сыр полутвердый,800,587
2020-01-09,1,A4,94,продукты сырные,750,340
2020-01-09,1,A3,99,продукты сырные,900,400
2020-01-09,1,A1,102,продукты сырные,400,400
2020-01-09,1,A1,111,прочие сыры,450,700
2020-01-09,1,A4,123,продукты сырные,250,340
2020-01-09,1,A1,136,сыр мягкий,1000,500
2020-01-09,1,A2,139,сыр твердый,150,1050
2020-01-09,1,A2,144,сыр мягкий,300,525
2020-01-10,1,A5,17,продукты сырные,250,391
2020-01-10,1,A3,49,сыр твердый,900,1000
2020-01-10,1,A4,60,сыр мягкий,1000,551
2020-01-10,1,A5,61,сыр полутвердый,1000,587
2020-01-10,1,A2,66,продукты сырные,500,420
2020-01-10,1,A3,73,сыр полутвердый,650,600
2020-01-10,1,A1,100,продукты сырные,550,400
2020-01-10,1,A2,113,сыр мягкий,800,525
2020-01-10,1,A2,119,сыр полутвердый,750,630
2020-01-10,1,A2,126,сыр полутвердый,550,630
2020-01-10,1,A1,129,сыр твердый,600,1000
2020-01-10,1,A1,134,продукты сырные,300,400
2020-01-11,1,A1,82,продукты сырные,100,400
2020-01-11,1,A2,133,прочие сыры,700,735
2020-01-11,1,A1,140,сыр твердый,150,1000
2020-01-11,1,A2,141,сыр твердый,800,1050
2020-01-12,1,A3,92,сыр твердый,450,1000
2020-01-12,1,A4,97,сыр мягкий,300,551
2020-01-12,1,A4,110,сыр твердый,400,893
2020-01-12,1,A3,114,прочие сыры,250,700
2020-01-12,1,A1,128,сыр полутвердый,950,600
2020-01-12,1,A2,139,сыр твердый,550,1050
2020-01-12,1,A2,147,сыр полутвердый,700,630
2020-01-12,1,A4,148,сыр полутвердый,100,662
2020-01-13,1,A1,2,сыр мягкий,350,475
2020-01-13,1,A1,3,сыр твердый,300,950
2020-01-13,1,A2,5,прочие сыры,500,630
2020-01-13,1,A1,7,сыр твердый,200,950
2020-01-13,1,A1,9,продукты сырные,500,380
2020-01-13,1,A2,10,сыр твердый,100,900
2020-01-13,1,A2,15,прочие сыры,500,630
2020-01-13,1,A1,18,прочие сыры,150,665
2020-01-13,1,A2,20,продукты сырные,150,360
2020-01-13,1,A2,21,сыр твердый,400,900
2020-01-13,1,A1,26,прочие сыры,400,665
2020-01-13,1,A2,33,продукты сырные,350,360
2020-01-13,1,A2,34,прочие сыры,200,630
2020-01-13,1,A1,36,сыр твердый,250,950
2020-01-13,1,A2,39,сыр твердый,150,900
2020-01-13,1,A2,40,продукты сырные,200,360
2020-01-13,1,A1,42,сыр мягкий,250,475
2020-01-13,1,A1,43,сыр мягкий,450,475
2020-01-13,1,A1,44,сыр мягкий,100,475
2020-01-13,1,A1,45,прочие сыры,300,665
