customer_id,family_type,number_people,financial_wealth,favorite_kind_cheese,avg_cheese_consumption,stop_eating_cheese,switching_another_cheese,basic_retailer,significant_price_change,looking_cheese,sensitivity_marketing_campaign
1,одиночка,1,низкий,прочие сыры,15,да,нет,A1,15.0,нет,нет
2,одиночка,1,низкий,сыр твердый,15,да,да,A4,15.0,да,да
3,одиночка,1,низкий,сыр мягкий,15,нет,нет,A4,7.5,да,да
4,одиночка,1,низкий,сыр мягкий,15,да,нет,A3,10.0,да,да
5,одиночка,1,низкий,прочие сыры,15,да,да,A3,10.0,да,да
6,одиночка,1,средний,сыр твердый,15,да,нет,A2,20.0,да,да
7,одиночка,1,низкий,сыр мягкий,15,да,нет,A1,7.5,нет,да
8,одиночка,1,низкий,прочие сыры,15,нет,да,A5,10.0,да,да
9,одиночка,1,низкий,прочие сыры,15,нет,да,A1,10.0,да,да
10,одиночка,1,низкий,сыр полутвердый,15,да,нет,A2,20.0,нет,нет
11,одиночка,1,низкий,сыр твердый,15,да,нет,A1,15.0,да,да
12,одиночка,1,низкий,прочие сыры,15,да,да,A1,7.5,да,да
13,одиночка,1,низкий,сыр мягкий,15,да,нет,A1,15.0,да,нет
14,одиночка,1,низкий,прочие сыры,15,нет,нет,A1,5.0,да,да
15,одиночка,1,средний,сыр полутвердый,15,да,нет,A4,7.5,да,да
16,одиночка,1,низкий,продукты сырные,15,да,нет,A1,15.0,нет,да
17,одиночка,1,низкий,сыр мягкий,15,да,нет,A2,7.5,да,да
18,одиночка,1,низкий,продукты сырные,15,нет,нет,A5,7.5,да,да
19,одиночка,1,средний,прочие сыры,15,да,нет,A2,7.5,да,да
20,одиночка,1,низкий,сыр мягкий,15,нет,да,A1,7.5,нет,да
21,одиночка,1,высокий,сыр твердый,15,да,нет,A1,10.0,да,да
22,одиночка,1,высокий,сыр твердый,15,да,да,A2,15.0,да,да
23,одиночка,1,низкий,сыр твердый,15,нет,нет,A1,5.0,да,да
24,одиночка,1,низкий,сыр полутвердый,15,нет,да,A3,7.5,да,да
25,одиночка,1,низкий,сыр твердый,15,да,да,A1,7.5,нет,да
26,одиночка,1,средний,прочие сыры,15,да,нет,A1,15.0,да,да
27,одиночка,1,средний,сыр мягкий,15,нет,нет,A3,10.0,да,да
28,одиночка,1,низкий,сыр полутвердый,15,да,да,A3,7.5,да,да
29,одиночка,1,низкий,прочие сыры,15,да,нет,A2,7.5,да,да
30,одиночка,1,низкий,продукты сырные,15,да,нет,A1,5.0,да,да
31,одиночка,1,низкий,сыр мягкий,15,нет,да,A1,10.0,нет,нет
32,одиночка,1,низкий,сыр полутвердый,15,нет,нет,A4,10.0,да,да
33,одиночка,1,низкий,прочие сыры,15,да,нет,A1,7.5,нет,да
34,одиночка,1,низкий,сыр полутвердый,15,да,нет,A3,15.0,да,да
35,одиночка,1,низкий,сыр мягкий,15,да,нет,A1,5.0,да,нет
36,одиночка,1,средний,сыр мягкий,15,нет,нет,A1,10.0,нет,да
37,одиночка,1,средний,сыр твердый,15,да,нет,A1,10.0,да,да
38,одиночка,1,низкий,сыр твердый,15,да,нет,A1,10.0,нет,да
39,одиночка,1,средний,продукты сырные,15,да,нет,A5,10.0,да,да
40,одиночка,1,низкий,прочие сыры,15,да,нет,A3,15.0,да,да
41,одиночка,1,средний,продукты сырные,15,да,нет,A4,10.0,нет,да
42,одиночка,1,высокий,сыр твердый,15,нет,нет,A4,20.0,да,да
43,одиночка,1,низкий,сыр твердый,15,да,да,A1,7.5,да,да
44,одиночка,1,низкий,сыр твердый,15,да,нет,A2,5.0,нет,да
