date,model,retailer,customer_id,kind_cheese,quantity,price
01.01.2020,0,A1,28,сыр мягкий,700,500
01.01.2020,0,A2,37,сыр мягкий,300,500
01.01.2020,0,A3,38,сыр мягкий,300,500
01.01.2020,0,A4,48,прочие сыры,900,770
01.01.2020,0,A4,73,сыр твердый,300,1050
01.01.2020,0,A1,87,сыр полутвердый,1000,600
01.01.2020,0,A1,102,сыр полутвердый,300,600
01.01.2020,0,A1,116,сыр твердый,700,1000
01.01.2020,0,A2,120,сыр полутвердый,300,600
01.01.2020,0,A1,163,сыр полутвердый,700,600
01.01.2020,0,A2,169,сыр полутвердый,1000,600
01.01.2020,0,A4,179,сыр твердый,700,1050
01.01.2020,0,A3,183,сыр мягкий,700,500
01.01.2020,0,A3,193,сыр твердый,900,1000
01.01.2020,0,A2,221,сыр полутвердый,900,600
01.01.2020,0,A3,226,сыр твердый,300,1000
01.01.2020,0,A1,227,сыр твердый,900,1000
01.01.2020,0,A1,230,сыр полутвердый,300,600
01.01.2020,0,A1,235,сыр мягкий,500,500
01.01.2020,0,A2,242,продукты сырные,200,400
01.01.2020,0,A2,246,сыр полутвердый,200,600
01.01.2020,0,A2,249,сыр полутвердый,900,600
01.01.2020,0,A3,260,сыр полутвердый,900,600
01.01.2020,0,A1,262,сыр полутвердый,600,600
01.01.2020,0,A3,272,продукты сырные,700,400
01.01.2020,0,A4,284,сыр полутвердый,500,630
01.01.2020,0,A4,299,сыр твердый,300,1050
01.01.2020,0,A3,308,сыр мягкий,500,500
01.01.2020,0,A5,318,сыр полутвердый,900,570
01.01.2020,0,A3,319,сыр полутвердый,200,600
01.01.2020,0,A1,324,сыр мягкий,200,500
01.01.2020,0,A3,354,сыр мягкий,500,500
01.01.2020,0,A2,364,сыр полутвердый,300,600
01.01.2020,0,A3,369,продукты сырные,600,400
01.01.2020,0,A4,376,продукты сырные,500,340
01.01.2020,0,A4,381,прочие сыры,600,770
01.01.2020,0,A3,385,сыр твердый,600,1000
01.01.2020,0,A1,414,сыр твердый,700,1000
01.01.2020,0,A2,427,сыр мягкий,600,500
01.01.2020,0,A1,436,сыр твердый,600,1000
