model;week_number;retailer;kind_cheese;total_quantity;total_proceeds;total_amount
0;01;A1;продукты сырные;35,0;14000,0;57
0;01;A1;прочие сыры;32,4;22680,0;50
0;01;A1;сыр мягкий;39,4;19700,0;63
0;01;A1;сыр полутвердый;31,6;18960,0;54
0;01;A1;сыр твердый;47,9;47900,0;80
0;01;A2;продукты сырные;27,8;11120,0;49
0;01;A2;прочие сыры;21,2;14840,0;33
0;01;A2;сыр мягкий;31,2;15600,0;50
0;01;A2;сыр полутвердый;23,7;14220,0;39
0;01;A2;сыр твердый;29,9;29900,0;51
0;01;A3;продукты сырные;17,4;6960,0;27
0;01;A3;прочие сыры;12,7;8890,0;23
0;01;A3;сыр мягкий;16,1;8050,0;27
0;01;A3;сыр полутвердый;21,7;13020,0;32
0;01;A3;сыр твердый;22,0;22000,0;36
0;01;A4;продукты сырные;20,9;7106,0;37
0;01;A4;прочие сыры;22,5;17325,0;31
0;01;A4;сыр мягкий;15,4;8085,0;27
0;01;A4;сыр полутвердый;23,0;14490,0;35
0;01;A4;сыр твердый;24,7;25935,0;43
0;01;A5;продукты сырные;11,8;4484,0;21
0;01;A5;прочие сыры;4,5;2992,5;6
0;01;A5;сыр мягкий;6,2;2945,0;11
0;01;A5;сыр полутвердый;10,7;6099,0;17
0;01;A5;сыр твердый;12,5;11875,0;17
0;02;A1;продукты сырные;44,8;17920,0;75
0;02;A1;прочие сыры;33,0;23100,0;52
0;02;A1;сыр мягкий;39,8;19900,0;66
0;02;A1;сыр полутвердый;41,5;24900,0;74
0;02;A1;сыр твердый;50,9;50900,0;86
0;02;A2;продукты сырные;42,0;16800,0;69
0;02;A2;прочие сыры;23,3;16310,0;43
0;02;A2;сыр мягкий;35,7;17850,0;59
0;02;A2;сыр полутвердый;35,6;21360,0;62
0;02;A2;сыр твердый;41,7;41700,0;73
0;02;A3;продукты сырные;23,5;9400,0;38
0;02;A3;прочие сыры;14,6;10220,0;23
0;02;A3;сыр мягкий;16,9;8450,0;31
0;02;A3;сыр полутвердый;11,7;7020,0;25
0;02;A3;сыр твердый;30,9;30900,0;49
0;02;A4;продукты сырные;27,3;9282,0;43
0;02;A4;прочие сыры;19,7;15169,0;34
0;02;A4;сыр мягкий;22,2;11655,0;34
0;02;A4;сыр полутвердый;13,9;8757,0;26
0;02;A4;сыр твердый;25,0;26250,0;47
0;02;A5;продукты сырные;13,8;5244,0;25
0;02;A5;прочие сыры;8,1;5386,5;12
0;02;A5;сыр мягкий;9,8;4655,0;17
0;02;A5;сыр полутвердый;11,4;6498,0;19
0;02;A5;сыр твердый;10,0;9500,0;16
0;03;A1;продукты сырные;35,2;14080,0;52
0;03;A1;прочие сыры;30,3;21210,0;58
0;03;A1;сыр мягкий;33,7;16850,0;55
0;03;A1;сыр полутвердый;32,9;19740,0;56
0;03;A1;сыр твердый;51,5;51500,0;81
0;03;A2;продукты сырные;34,9;13960,0;59
0;03;A2;прочие сыры;26,0;18200,0;46
0;03;A2;сыр мягкий;24,5;12250,0;38
0;03;A2;сыр полутвердый;30,4;18240,0;48
0;03;A2;сыр твердый;38,6;38600,0;70
0;03;A3;продукты сырные;24,6;9840,0;39
0;03;A3;прочие сыры;20,1;14070,0;31
0;03;A3;сыр мягкий;17,1;8550,0;26
0;03;A3;сыр полутвердый;24,1;14460,0;40
0;03;A3;сыр твердый;19,1;19100,0;31
0;03;A4;продукты сырные;20,8;7072,0;34
0;03;A4;прочие сыры;17,5;13475,0;30
0;03;A4;сыр мягкий;14,2;7455,0;22
0;03;A4;сыр полутвердый;26,9;16947,0;42
0;03;A4;сыр твердый;21,3;22365,0;37
0;03;A5;продукты сырные;9,3;3534,0;17
0;03;A5;прочие сыры;4,9;3258,5;9
0;03;A5;сыр мягкий;9,0;4275,0;14
0;03;A5;сыр полутвердый;5,8;3306,0;13
0;03;A5;сыр твердый;9,7;9215,0;16
0;04;A1;продукты сырные;48,7;19480,0;76
0;04;A1;прочие сыры;38,6;27020,0;56
0;04;A1;сыр мягкий;33,7;16850,0;60
0;04;A1;сыр полутвердый;32,6;19560,0;58
0;04;A1;сыр твердый;39,4;39400,0;71
0;04;A2;продукты сырные;37,2;14880,0;61
0;04;A2;прочие сыры;21,3;14910,0;38
0;04;A2;сыр мягкий;33,0;16500,0;54
0;04;A2;сыр полутвердый;31,0;18600,0;51
0;04;A2;сыр твердый;38,7;38700,0;59
0;04;A3;продукты сырные;19,6;7840,0;33
0;04;A3;прочие сыры;11,4;7980,0;18
0;04;A3;сыр мягкий;14,4;7200,0;23
0;04;A3;сыр полутвердый;17,1;10260,0;30
0;04;A3;сыр твердый;22,1;22100,0;40
0;04;A4;продукты сырные;11,4;3876,0;23
0;04;A4;прочие сыры;14,8;11396,0;28
0;04;A4;сыр мягкий;14,3;7507,5;29
0;04;A4;сыр полутвердый;22,0;13860,0;35
0;04;A4;сыр твердый;21,4;22470,0;40
0;04;A5;продукты сырные;12,4;4712,0;24
0;04;A5;прочие сыры;3,8;2527,0;7
0;04;A5;сыр мягкий;4,8;2280,0;8
0;04;A5;сыр полутвердый;8,2;4674,0;15
0;04;A5;сыр твердый;8,6;8170,0;15
0;05;A1;продукты сырные;32,8;13120,0;64
0;05;A1;прочие сыры;27,3;19110,0;43
0;05;A1;сыр мягкий;53,0;26500,0;86
